Shelter ID,name,email,phone,url,website,mission_statement,photos,distance,address.address1,address.address2,address.city,address.state,address.postcode,address.country,hours.monday,hours.tuesday,hours.wednesday,hours.thursday,hours.friday,hours.saturday,hours.sunday,adoption.policy,adoption.url,social_media.facebook,social_media.twitter,social_media.youtube,social_media.instagram,social_media.pinterest,_links.self.href,_links.animals.href
TX1050,Education and Animal Rescue Society (EARS),adoptions@earstexas.org,214-559-2817,https://www.petfinder.com/member/us/tx/dallas/education-and-animal-rescue-society-ears-tx1050/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/37804/1/?bust=1511997441&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/37804/1/?bust=1511997441&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/37804/1/?bust=1511997441&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/37804/1/?bust=1511997441'}]",,P.O. Box 190473,,Dallas,TX,75219,US,,,,,,,,,,,,,,,/v2/organizations/tx1050,/v2/animals?organization=tx1050
TX470,City of Lewisville Animal Shelter,lewisvillepets@gmail.com,(972) 219-3478,https://www.petfinder.com/member/us/tx/lewisville/city-of-lewisville-animal-shelter-tx470/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,http://lewisvillepets.com/adopt,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38370/1/?bust=1548944465&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38370/1/?bust=1548944465&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38370/1/?bust=1548944465&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38370/1/?bust=1548944465'}]",,995 E Valley Ridge Blvd,,Lewisville,TX,75057,US,Online Services Only,10 am-5 pm,10 am-5 pm,10 am-5 pm,10 am-5 pm,12 pm-5 pm,Closed,"To adopt a pet, please visit: http://lewisvillepets.com/adopt

Adoptions for dogs and cats are $90 and include:
-Sterilization
-Vaccinations
-Microchip
-Heartworm/FIV/FeLV...",http://lewisvillepets.com/adopt,https://www.facebook.com/LewisvilleAnimalServices/,,,,,/v2/organizations/tx470,/v2/animals?organization=tx470
TX106,Operation Kindness,ok@operationkindness.org,(972) 418-PAWS (7297),https://www.petfinder.com/member/us/tx/carrollton/operation-kindness-tx106/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,,,[],,3201 Earhart Dr,,Carrollton,TX,75006,US,,,,,,,,,,,,,,,/v2/organizations/tx106,/v2/animals?organization=tx106
TX35,Humane Society of Young County,grahamhsyc17@yahoo.com,(940) 549-1692,https://www.petfinder.com/member/us/tx/graham/humane-society-of-young-county-tx35/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,http://www.humanesociety-yc.org/,The primary purpose is to operate and provide a non-profit shelter and clinic exclusively for charitable purposes. To provide care...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/2/?bust=1572717516&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/2/?bust=1572717516&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/2/?bust=1572717516&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/2/?bust=1572717516'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/1/?bust=1535035089&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/1/?bust=1535035089&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/1/?bust=1535035089&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/1/?bust=1535035089'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/3/?bust=1572717516&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/3/?bust=1572717516&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/3/?bust=1572717516&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/3/?bust=1572717516'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/4/?bust=1572717517&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/4/?bust=1572717517&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/4/?bust=1572717517&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/4/?bust=1572717517'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/5/?bust=1572717517&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/5/?bust=1572717517&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/5/?bust=1572717517&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/5/?bust=1572717517'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/6/?bust=1572717517&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/6/?bust=1572717517&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/6/?bust=1572717517&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38293/6/?bust=1572717517'}]",,120 Craig St,,Graham,TX,76450,US,11-5,11-5,Closed,11-5,11-5,By Appointment,Closed,"Our adoption fees are $125 for dogs and $75 for cats. 
Fees include:

for dogs:
spay/neuter
vaccinations including DAVP (boostered...",https://www.shelterluv.com/matchme/adopt/HSYC/Dog,https://www.facebook.com/YoungCountyHumaneSociety/,https://twitter.com/YoungCoHumane,,https://www.instagram.com/grahamhsyc/?fbclid=IwAR0rfstvPXjnhN1u2M311THtFMHC0mfuOl5ZCwsbo6gI0oqbzQFR7nAgRug,,/v2/organizations/tx35,/v2/animals?organization=tx35
MD539,Pep's Pals Rescue,pepspalsrescue@gmail.com,,https://www.petfinder.com/member/us/md/brookeville/peps-pals-rescue-md539/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://www.pepspalsrescue.org,Pep&#039;s Pals changes the course of dogs and cats who need a forever home. We assist dogs and cats from...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53196/1/?bust=1692658896&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53196/1/?bust=1692658896&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53196/1/?bust=1692658896&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53196/1/?bust=1692658896'}]",,,,Brookeville,MD,20833,US,,,,,,,,"1. Adopters fill out an application
2. Adopters are interviewed by Pep&#039;s Pals Rescue
3. A virtual home visit is...",https://pepspalsrescue.org/adopt,https://www.facebook.com/Pepspalsrescue,,,https://instagram.com/peps_pals,,/v2/organizations/md539,/v2/animals?organization=md539
TX2690,Highway Hounds Animal Rescue and Transport,highwayhoundstx@gmail.com,(817) 903-0833,https://www.petfinder.com/member/us/tx/fort-worth/highway-hounds-animal-rescue-and-transport-tx2690/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://highwayhoundstx.org,"We are a non-profit animal rescue and transport committed to saving homeless companion animals, assisting other shelters/rescues through rescue transports,...",[],,,,fort worth,TX,76134,US,,,,,,,,,https://highwayhoundstx.org/applications,https://www.facebook.com/highwayhoundstx.org,,,,,/v2/organizations/tx2690,/v2/animals?organization=tx2690
TX1530,DFW Rescue Me,info@dfwrescueme.org,,https://www.petfinder.com/member/us/tx/dallas/dfw-rescue-me-tx1530/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,http://www.dfwrescueme.org,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/41141/1/?bust=1511997727&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/41141/1/?bust=1511997727&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/41141/1/?bust=1511997727&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/41141/1/?bust=1511997727'}]",,,,Dallas,TX,75214,US,,,,,,,,,,https://www.facebook.com/DFWRescueMe/,,,,,/v2/organizations/tx1530,/v2/animals?organization=tx1530
TX341,Farmers Branch Animal Adoption Center,animalservices@farmersbranchtx.gov,(972) 919-8770,https://www.petfinder.com/member/us/tx/farmers-branch/farmers-branch-animal-adoption-center-tx341/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,http://www.farmersbranchtx.gov/animal,Our mission in Animal Services is to serve and protect the animals and the community of Farmers Branch. To go...,[],,3727 Valley View Lane,,Farmers Branch,TX,75234,US,Closed,11am-5pm,10am-4pm,11am-5pm,11am-5pm,9am-3pm,Closed,,,,,,,,/v2/organizations/tx341,/v2/animals?organization=tx341
TX2104,Nocona Lucky Paws Animal Shelter,noconaluckypaws@gmail.com,(940) 867-5015,https://www.petfinder.com/member/us/tx/nocona/nocona-lucky-paws-animal-shelter-tx2104/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,http://noconaluckypaws.org,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/1/?bust=1532798900&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/1/?bust=1532798900&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/1/?bust=1532798900&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/1/?bust=1532798900'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/3/?bust=1532798901&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/3/?bust=1532798901&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/3/?bust=1532798901&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/3/?bust=1532798901'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/4/?bust=1532798902&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/4/?bust=1532798902&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/4/?bust=1532798902&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/4/?bust=1532798902'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/5/?bust=1532798902&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/5/?bust=1532798902&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/5/?bust=1532798902&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/5/?bust=1532798902'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/6/?bust=1532798903&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/6/?bust=1532798903&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/6/?bust=1532798903&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/46293/6/?bust=1532798903'}]",,653 Airport Rd.,,Nocona,TX,76255,US,8:00 - 12:00,8:00-12:00,8:00-12:00,8:00-12:00,8:00-10:00,8:00-10:00,8:00-10:00,,,https://www.facebook.com/Nocona-Lucky-Paws-Animal-Shelter-138749395,,,,,/v2/organizations/tx2104,/v2/animals?organization=tx2104
TX1877,SPCA of East Texas,,(903) 596-7722,https://www.petfinder.com/member/us/tx/tyler/spca-of-east-texas-tx1877/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,http://www.spcaeasttx.com,"The MISSION of the SPCA of East Texas is to improve the lives of animals, alleviate their suffering and elevate...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/44275/2/?bust=1699385931&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/44275/2/?bust=1699385931&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/44275/2/?bust=1699385931&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/44275/2/?bust=1699385931'}]",,3245 W Grande,,Tyler,TX,75713,US,,,,,,,,"Adoption Requirements:
All animals in your home MUST be spayed/neutered (absent medical reason).
All animals in your home MUST have...",https://spcaeasttx.com/,https://www.facebook.com/SPCAEastTexas,,,,,/v2/organizations/tx1877,/v2/animals?organization=tx1877
TX1659,Grand Prairie Animal Services,prairiepawsanimalinfo@gptx.org,(972) 237-8575,https://www.petfinder.com/member/us/tx/grand-prairie/grand-prairie-animal-services-tx1659/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,http://www.gptx.org/paws,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42032/1/?bust=1522938777&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42032/1/?bust=1522938777&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42032/1/?bust=1522938777&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42032/1/?bust=1522938777'}]",,2222 West Warrior Trail,,Grand Prairie,TX,75052,US,CLOSED,10am-6pm,10am-6pm,10am-6pm,10am-6pm,Noon-6pm,CLOSED,,,,,,,,/v2/organizations/tx1659,/v2/animals?organization=tx1659
