Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A655897,FENDI LEE,DOG,BLACK,BROWN,Female,2020-11-05,2021-04-05,ILL SEVERE,OWNER SURRENDER,FIELD,ILL,2021-04-05,"100 BLK ELM AVE, LONG BEACH, CA 90802",LONG BEACH,EUTHANASIA,AT VET,33.7680827,-118.1876775,Alive on Intake,True,0,"33.7680827, -118.1876775"
A665643,*JUNI,DOG,TAN,BLACK,Female,2020-10-22,2021-10-22,NORMAL,STRAY,FIELD,,2022-01-19,"100 BLK JUNIPERO AVE, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,SPCALA,33.7655355,-118.1659567,Alive on Intake,False,1,"33.7655355, -118.1659567"
A723857,JAMES BOND,DOG,BLACK,,Male,2012-07-03,2024-07-03,NORMAL,STRAY,OTC,,2024-07-07,100 BLK LIME AVE LONG BEACH CA 90802,LONG BEACH,RETURN TO OWNER,WALKIN,33.7680835,-118.1836918,Alive on Intake,False,1,"33.7680835, -118.1836918"
A692018,SNOW,DOG,TAN,BLACK,Neutered,2020-01-19,2023-01-19,NORMAL,STRAY,OTC,,2023-05-24,"100 BLK LONG BEACH BLVD, LB CA 90802",LONG BEACH,ADOPTION,WEB,33.7683013,-118.1887403,Alive on Intake,False,1,"33.7683013, -118.1887403"
A584288,KIKA,DOG,CHOCOLATE,,Female,2014-01-08,2017-01-08,NORMAL,SAFE KEEP,HOSPITAL,,2017-01-23,"100 BLK MAGNOLIA AVE, LONG BEACH, CA 90802",LONG BEACH,RETURN TO OWNER,WALKIN,33.7686833,-118.1975282,Alive on Intake,False,1,"33.7686833, -118.1975282"
A639162,POGI,DOG,BROWN,RED,Neutered,2018-01-30,2020-01-30,NORMAL,STRAY,OTC,,2020-01-30,"100 BLK MOLINO AVE, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,WALKIN,33.7645936,-118.1607584,Alive on Intake,False,1,"33.7645936, -118.1607584"
A699835,*NORTON,DOG,WHITE,GRAY,Neutered,2022-05-31,2023-05-31,I/I REPORT,STRAY,OTC,,2023-06-10,100 BLK NORTON ST LONG BEACH 90805,LONG BEACH,ADOPTION,WEB,33.8584198,-118.1949481,Alive on Intake,False,1,"33.8584198, -118.1949481"
A665120,*TALIA,DOG,GRAY,WHITE,Spayed,2020-10-11,2021-10-11,NORMAL,STRAY,FIELD,,2021-12-04,"100 BLK OSGOOD ST, LONG BEACH, CA 90805",LONG BEACH,FOSTER TO ADOPT,,33.8634376,-118.1939327,Alive on Intake,False,1,"33.8634376, -118.1939327"
A705724,*KUMAR,DOG,BROWN,BLACK,Neutered,2021-08-31,2023-08-30,NORMAL,STRAY,OTC,,2023-12-09,100 BLK PACIFIC AVE LONG BEACH CA 90802,LONG BEACH,ADOPTION,WEB,33.7684834,-118.1933559,Alive on Intake,False,1,"33.7684834, -118.1933559"
A728637,*LAWRENCE,DOG,YELLOW,,Neutered,2023-11-14,2024-09-14,NORMAL,STRAY,OTC,,2024-10-16,100 BLK PACIFIC AVE LONG BEACH CA 90802,LONG BEACH,ADOPTION,WEB,33.7684834,-118.1933559,Alive on Intake,False,1,"33.7684834, -118.1933559"
A740671,*HOLLY,DOG,TAN,,Spayed,2022-05-19,2025-05-13,NORMAL,STRAY,OTC,,,100 BLK PACIFIC AVE. LONG BEACH CA 90802,LONG BEACH,,,33.7684834,-118.1933559,Alive on Intake,False,1,"33.7684834, -118.1933559"
A623843,,DOG,BROWN,BLACK,Male,2018-03-27,2019-03-27,NORMAL,STRAY,FIELD,,2019-04-02,"100 BLK RIDGEWOOD ST, LONG BEACH, CA 90807",LONG BEACH,TRANSFER,SPCALA,33.8447148,-118.17948,Alive on Intake,False,1,"33.8447148, -118.17948"
A580539,BUDDHA,DOG,BLACK,WHITE,Neutered,2013-10-16,2017-10-11,NORMAL,CONFISCATE,VICIOUS,,2017-12-21,"100 BLK RIVO ALTO CANAL, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,BEH SEVERE,33.755219,-118.1231337,Alive on Intake,True,0,"33.755219, -118.1231337"
A713911,*BRINDELLA,DOG,BR BRINDLE,,Spayed,2021-01-25,2024-01-25,NORMAL,STRAY,OTC,,2024-02-02,100 BLK S PINE AVE LONG BEACH CA 90802,LONG BEACH,ADOPTION,WEB,33.764581,-118.1920637,Alive on Intake,False,1,"33.764581, -118.1920637"
A693081,MAXIE,DOG,WHITE,BLACK,Neutered,2014-02-08,2023-02-08,BEHAVIOR  MODERATE,OWNER SURRENDER,OTC,,2023-04-05,100 BLK S SANTA ANA LB CA 90803,LONG BEACH,ADOPTION,WEB,33.7523035,-118.1298234,Alive on Intake,False,1,"33.7523035, -118.1298234"
A688743,*CARLI,DOG,BR BRINDLE,WHITE,Spayed,2018-11-14,2022-11-14,NORMAL,STRAY,FIELD,,2022-12-16,"100 BLK W 20TH ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,,33.7934837,-118.1923744,Alive on Intake,False,1,"33.7934837, -118.1923744"
A672623,FRED,DOG,TAN,WHITE,Male,2014-04-02,2022-04-02,NORMAL,STRAY,FIELD,,2022-04-21,"100 BLK W 31ST ST, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,,33.8137438,-118.1932185,Alive on Intake,False,1,"33.8137438, -118.1932185"
A705997,*WESTLEY,DOG,CREAM,,Neutered,2021-09-14,2023-09-01,NORMAL,STRAY,OTC,,2023-09-14,100 BLK W 67TH WAY LONG BEACH CA 90805,LONG BEACH,ADOPTION,,33.8767505,-118.2037218,Alive on Intake,False,1,"33.8767505, -118.2037218"
A727383,,DOG,BLUE,,Male,2023-08-23,2024-08-23,ILL MILD,STRAY,OTC,,2024-08-28,100 BLK W 67TH WAY LONG BEACH CA 90805,LONG BEACH,EUTHANASIA,AT VET,33.8767505,-118.2037218,Alive on Intake,True,0,"33.8767505, -118.2037218"
A584895,PABLO,DOG,TAN,BROWN,Male,2012-01-21,2017-01-21,NORMAL,OWNER SURRENDER,OTC,NO TIME,2017-01-25,"100 BLK W 6TH ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WALKIN,33.7741205,-118.1923985,Alive on Intake,False,1,"33.7741205, -118.1923985"
A639731,,DOG,TAN,,Female,2017-02-09,2020-02-09,NORMAL,STRAY,OTC,,2020-02-15,"100 BLK W 7TH ST, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7753437,-118.1924043,Alive on Intake,False,1,"33.7753437, -118.1924043"
A610443,*CARSON,DOG,TAN,,Neutered,2017-06-30,2018-06-30,NORMAL,STRAY,OTC,,2018-07-20,"100 BLK W ADAMS ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,33.8695408,-118.2031579,Alive on Intake,False,1,"33.8695408, -118.2031579"
A717120,FANNY,DOG,TAN,WHITE,Spayed,2014-03-15,2024-03-15,NORMAL,STRAY,OTC,,2024-03-27,100 BLK W ADAMS STREET LONG BEACH CA 90805,LONG BEACH,ADOPTION,WEB,33.8695408,-118.2031579,Alive on Intake,False,1,"33.8695408, -118.2031579"
A605394,BAD BOY,DOG,TAN,,Male,2010-03-27,2018-03-27,NORMAL,CONFISCATE,ABANDON,,2018-03-28,"100 BLK W ARTESIA BLVD, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8742117,-118.2035655,Alive on Intake,False,1,"33.8742117, -118.2035655"
A724360,*LIGHTNING,DOG,BROWN,BLACK,Male,2023-10-10,2024-07-10,NORMAL,STRAY,OTC,,2024-08-10,"100 BLK W DEL AMO BLVD, LONG BEACH 90807",LONG BEACH,RESCUE,FROSTFUND,33.8465824,-118.1980555,Alive on Intake,False,1,"33.8465824, -118.1980555"
A666731,*EVE,DOG,BROWN,BLACK,Spayed,2016-12-03,2021-11-12,NORMAL,STRAY,OTC,,2022-01-09,"100 BLK W DEL AMO BLVD, LONG BEACH, CA 90805",LONG BEACH,RESCUE,GLDRET RES,33.8465824,-118.1980555,Alive on Intake,False,1,"33.8465824, -118.1980555"
A704453,MOCHI,DOG,BLACK,BROWN,Spayed,2017-08-08,2023-08-08,INJURED  SEVERE,STRAY,FIELD,,2023-08-18,"100 BLK W DEL AMO, LB 90805",LONG BEACH,RESCUE,SAFE,33.8465824,-118.1980555,Alive on Intake,False,1,"33.8465824, -118.1980555"
A606141,MAX,DOG,BLACK,WHITE,Male,2016-04-12,2018-07-02,NORMAL,STRAY,FIELD,,2018-07-11,"100 BLK W HARCOURT ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.867414,-118.2028381,Alive on Intake,False,1,"33.867414, -118.2028381"
A618063,GINGER,DOG,TAN,WHITE,Female,2014-11-25,2018-11-25,NORMAL,STRAY,FIELD,,2018-11-28,"100 BLK W LOUISE ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8548651,-118.1986475,Alive on Intake,False,1,"33.8548651, -118.1986475"
A725050,*MONDAY,DOG,BLACK,,Spayed,2024-05-10,2024-09-26,NORMAL,RETURN,ADOPTION,,2024-10-05,100 BLK W OCEAN BLVD LONG BEACH CA 90802,LONG BEACH,ADOPTION,WEB,33.7668624,-118.19413,Alive on Intake,False,1,"33.7668624, -118.19413"
A630012,AZULA,DOG,CREAM,,Spayed,2019-02-14,2020-07-09,BEHAVIOR  MODERATE,OWNER SURRENDER,OTC,BITES,2020-08-06,"100 BLK W OCEAN BLVD, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LIVELOVE,33.7668624,-118.19413,Alive on Intake,False,1,"33.7668624, -118.19413"
