animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_cond,intake_type,intake_subtype,reason,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A619621,,BIRD,BROWN,RED,Male,2018-01-01,2019-01-01,NORMAL,WILDLIFE,FIELD,,2019-01-02,"00 BLK W 52ND ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,WARDSMTN,33.8504599,-118.1952821,Alive on Intake,FALSE,1,"{'lon': -118.1952821, 'lat': 33.8504599}"
A738980,,CAT,ORG TABBY,,Male,2025-02-17,2025-04-04,UNDER AGE/WEIGHT,STRAY,OTC,,2025-04-06,"00 BLK W 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8524273,-118.1959944,Alive on Intake,FALSE,1,"{'lon': -118.1959944, 'lat': 33.8524273}"
A665831,,WILD,BROWN,BLACK,Unknown,,2021-10-27,INJURED  MILD,WILDLIFE,FIELD,,2021-10-27,"00 BLK W ARBOR ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8439372,-118.1930131,Alive on Intake,TRUE,0,"{'lon': -118.1930131, 'lat': 33.8439372}"
A739787,,OTHER,BLACK,,Female,2024-04-23,2025-04-23,ILL MILD,WILDLIFE,OTC,,2025-04-23,"00 BLK W BORT ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8705366,-118.2017126,Alive on Intake,TRUE,0,"{'lon': -118.2017126, 'lat': 33.8705366}"
A597275,,CAT,WHITE,CREAM,Unknown,2017-09-16,2017-09-17,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-09-17,"00 BLK W PACIFIC COAST HWY, LONG BEACH, CA 90806",LONG BEACH,RESCUE,LBSNNRES,33.7898298,-118.2081907,Alive on Intake,FALSE,1,"{'lon': -118.2081907, 'lat': 33.7898298}"
A738460,,WILD,BROWN,,Male,2025-02-09,2025-03-23,ILL MILD,WILDLIFE,OTC,,2025-03-23,00 BLK W SHORELINE DR LONG BEACH CA 90802,LONG BEACH,TRANSPORT,OTHER RESC,33.7697833,-118.2029892,Alive on Intake,FALSE,1,"{'lon': -118.2029892, 'lat': 33.7697833}"
A738355,WOLVERINE,CAT,FLAME PT,WHITE,Neutered,2024-09-21,2025-04-05,NORMAL,RETURN,,INJURED,2025-04-09,"00 BLOCK BAYSHORE AVE, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,33.753886,-118.1329501,Alive on Intake,FALSE,1,"{'lon': -118.1329501, 'lat': 33.753886}"
A702741,BIG BOY,DOG,TAN,,Neutered,2018-07-12,2023-07-12,I/I REPORT,OWNER SURRENDER,OTC,NO HOME,2023-07-16,"00 BLOCK BENNETT AVE, LONG BEACH CA",LONG BEACH,RESCUE,,33.758536,-118.1443059,Alive on Intake,FALSE,1,"{'lon': -118.1443059, 'lat': 33.758536}"
A706436,*PHANTOM,CAT,BRN TABBY,,Female,2023-08-04,2023-09-07,NORMAL,STRAY,OTC,,2023-10-23,"00 BLOCK E MARKET ST, LONG BEACH CA",LONG BEACH,RESCUE,LITTLELION,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"{'lon': -118.1964921, 'lat': 33.8542837}"
A706438,*CRICKET,CAT,BLACK,,Male,2023-08-04,2023-09-07,NORMAL,STRAY,OTC,,2023-10-08,"00 BLOCK E MARKET ST, LONG BEACH CA",LONG BEACH,ADOPTION,,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"{'lon': -118.1964921, 'lat': 33.8542837}"
A608402,,WILD,GRAY,,Female,,2018-05-26,ILL MILD,WILDLIFE,FIELD,,2018-05-26,"00 BLOCK LAGUNA PL, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.7506254,-118.127669,Alive on Intake,FALSE,1,"{'lon': -118.127669, 'lat': 33.7506254}"
A697542,*CHUNK,CAT,GRAY TABBY,WHITE,Neutered,2021-04-27,2023-04-27,INJURED  MILD,STRAY,OTC,,2023-12-06,"00 BLOCK W DAMERON ST, LONG BEACH CA",LONG BEACH,ADOPTION,PFE/PAWSHP,33.8666531,-118.2017752,Alive on Intake,FALSE,1,"{'lon': -118.2017752, 'lat': 33.8666531}"
A694727,SPOTS,DOG,TRICOLOR,,Male,2021-09-16,2023-03-16,NORMAL,OWNER SURRENDER,FIELD,,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,TRANSFER,SPCALA,33.846061,-118.1936055,Alive on Intake,FALSE,1,"{'lon': -118.1936055, 'lat': 33.846061}"
A694733,SPOTTIE,DOG,TRICOLOR,,Male,2023-01-16,2023-03-16,NORMAL,OWNER SURRENDER,FIELD,,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,TRANSFER,SPCALA,33.846061,-118.1936055,Alive on Intake,FALSE,1,"{'lon': -118.1936055, 'lat': 33.846061}"
A694730,JACKO,DOG,BLACK,BROWN,Male,2022-09-16,2023-03-16,NORMAL,OWNER SURRENDER,FIELD,,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,TRANSFER,SPCALA,33.846061,-118.1936055,Alive on Intake,FALSE,1,"{'lon': -118.1936055, 'lat': 33.846061}"
A704556,MIA,CAT,BRN TABBY,,Spayed,2023-06-10,2023-08-10,ILL SEVERE,STRAY,OTC,,2023-08-23,"00 BLOCK W SCOTT ST, LONG BEACH CA",LONG BEACH,ADOPTION,,33.8692044,-118.2014596,Alive on Intake,FALSE,1,"{'lon': -118.2014596, 'lat': 33.8692044}"
A724000,JUNO,DOG,TAN,WHITE,Female,2016-07-06,2024-07-06,NORMAL,STRAY,OTC,,2024-07-06,00 GRANADA AVE LONG BEACH CA 90803,LONG BEACH,RETURN TO OWNER,FRE RID HM,33.7561797,-118.1387634,Alive on Intake,FALSE,1,"{'lon': -118.1387634, 'lat': 33.7561797}"
A644597,,BIRD,BROWN,YELLOW,Unknown,,2020-06-29,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2020-06-29,"000 CLAREMORE AVE, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,OTHER SANC,33.8116127,-118.0781468,Alive on Intake,FALSE,1,"{'lon': -118.0781468, 'lat': 33.8116127}"
A622921,,OTHER,GRAY,,Unknown,,2019-03-09,ILL SEVERE,WILDLIFE,FIELD,,2019-03-09,"1 BLK 39TH PL, LONG BEACH, CA 90803",LONG BEACH,RESCUE,MMR,33.760205,-118.1477682,Alive on Intake,FALSE,1,"{'lon': -118.1477682, 'lat': 33.760205}"
A607259,,WILD,GRAY,,Unknown,,2018-05-06,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2018-05-06,"1 BLK BELMONT AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.759484,-118.1453675,Alive on Intake,TRUE,0,"{'lon': -118.1453675, 'lat': 33.759484}"
A596335,,CAT,BLACK,,Female,2017-08-01,2017-09-01,NORMAL,STRAY,FIELD,,2017-09-07,"1 BLK CEDAR WALK, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7670803,-118.1948981,Alive on Intake,FALSE,1,"{'lon': -118.1948981, 'lat': 33.7670803}"
A660438,,WILD,GRAY,BLACK,Unknown,2021-05-14,2021-07-14,ILL MODERATETE,WILDLIFE,FIELD,,2021-07-14,"1 GOLDEN SHR, LONG BEACH, CA 90802",LONG BEACH,EUTHANASIA,ILL SEVERE,33.76693590000001,-118.2023583,Alive on Intake,TRUE,0,"{'lon': -118.2023583, 'lat': 33.76693590000001}"
A617688,,BIRD,WHITE,BLACK,Unknown,2017-11-17,2018-11-17,ILL SEVERE,WILDLIFE,FIELD,,2018-11-17,"1 JUNIPERO AVE, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.764574,-118.1666584,Alive on Intake,FALSE,1,"{'lon': -118.1666584, 'lat': 33.764574}"
A653211,,BIRD,WHITE,,Unknown,2020-01-15,2021-01-15,NORMAL,STRAY,FIELD,,2021-01-22,"10 69TH PL, LONG BEACH, CA 90803",LONG BEACH,RESCUE,OTHER RESC,33.7461607,-118.1189419,Alive on Intake,FALSE,1,"{'lon': -118.1189419, 'lat': 33.7461607}"
A612662,,BIRD,BROWN,WHITE,Unknown,2017-08-10,2018-08-10,ILL SEVERE,WILDLIFE,FIELD,,2018-08-10,"10 BAY SHORE AVE, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.7539754,-118.1327124,Alive on Intake,FALSE,1,"{'lon': -118.1327124, 'lat': 33.7539754}"
A639953,,BIRD,BROWN,,Unknown,,2020-02-13,INJURED  MODERATE,WILDLIFE,FIELD,,2020-02-13,"10 BLK 64TH PL, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.7473658,-118.1218845,Alive on Intake,FALSE,1,"{'lon': -118.1218845, 'lat': 33.7473658}"
A727241,,CAT,BRN TABBY,WHITE,Male,2024-08-03,2024-08-21,UNDER AGE/WEIGHT,STRAY,FIELD,,2024-08-21,"10 BLK ALAMITOS AVE, LB 90802",LONG BEACH,RESCUE,LITTLELION,33.7669739,-118.1827684,Alive on Intake,FALSE,1,"{'lon': -118.1827684, 'lat': 33.7669739}"
A695577,RASCAL,DOG,BROWN,WHITE,Male,2019-04-17,2023-03-26,NORMAL,STRAY,FIELD,,2023-03-29,"10 BLK E 69TH ST, LB 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8793054,-118.2040567,Alive on Intake,FALSE,1,"{'lon': -118.2040567, 'lat': 33.8793054}"
A661312,*BOWIE,DOG,BLACK,BROWN,Neutered,2020-03-05,2021-08-05,NORMAL,STRAY,OTC,,2022-08-12,"10 BLK E 69TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8793054,-118.2040567,Alive on Intake,FALSE,1,"{'lon': -118.2040567, 'lat': 33.8793054}"
A728518,,CAT,BLACK,WHITE,Female,2024-08-12,2024-09-12,ILL SEVERE,STRAY,OTC,,2024-09-12,10 BLK E 69TH WAY LONG BEACH CA 90805,LONG BEACH,EUTHANASIA,ILL SEVERE,33.8800038,-118.2043102,Alive on Intake,TRUE,0,"{'lon': -118.2043102, 'lat': 33.8800038}"
A618316,,CAT,BRN TABBY,WHITE,Female,2018-08-02,2018-12-02,NORMAL,STRAY,FIELD,,2018-12-05,"10 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8800031,-118.2042948,Alive on Intake,FALSE,1,"{'lon': -118.2042948, 'lat': 33.8800031}"
A618315,,CAT,BLACK,WHITE,Male,2018-08-02,2018-12-02,NORMAL,STRAY,FIELD,,2018-12-05,"10 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8800031,-118.2042948,Alive on Intake,FALSE,1,"{'lon': -118.2042948, 'lat': 33.8800031}"
A716293,,DOG,GOLD,,Male,2023-03-04,2024-03-04,INJURED  SEVERE,STRAY,FIELD,,2024-03-05,"10 BLK E ELLIS ST, LB 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8565163,-118.197279,Alive on Intake,TRUE,0,"{'lon': -118.197279, 'lat': 33.8565163}"
A658073,WILLOW,CAT,BRN TABBY,WHITE,Spayed,2010-04-30,2021-05-29,INJURED  MODERATE,STRAY,FIELD,,2021-05-30,"10 BLK E PLATT ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8509065,-118.1952182,Alive on Intake,FALSE,1,"{'lon': -118.1952182, 'lat': 33.8509065}"
A686896,*BAGHEERA,CAT,BLACK,,Male,2021-10-14,2022-10-14,INJURED  MODERATE,STRAY,OTC,,2022-12-10,"10 BLK E. PLYMOUTH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,,33.8532911,-118.1959712,Alive on Intake,FALSE,1,"{'lon': -118.1959712, 'lat': 33.8532911}"
A645458,,OTHER,GRAY,,Unknown,2019-11-13,2020-07-13,INJURED  SEVERE,WILDLIFE,FIELD,,2020-07-13,"10 BLK LA LINDA DR, LONG BEACH, CA 90807",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8274262,-118.1899585,Alive on Intake,TRUE,0,"{'lon': -118.1899585, 'lat': 33.8274262}"
A633731,,BIRD,BLACK,,Unknown,,2019-09-16,INJURED  SEVERE,WILDLIFE,FIELD,,2019-09-16,"10 BLK N ALBONI PL, LONG BEACH, CA 90802",LONG BEACH,DIED,ENROUTE,33.7666216,-118.1816769,Alive on Intake,TRUE,0,"{'lon': -118.1816769, 'lat': 33.7666216}"
A682864,*RED,CAT,ORG TABBY,,Neutered,2021-09-01,2022-09-01,NORMAL,STRAY,FIELD,,2022-10-08,"10 BLK OCEAN PL, SEAL BEACH, CA 90740",SEAL BEACH,ADOPTION,,33.7452018,-118.112709,Alive on Intake,FALSE,1,"{'lon': -118.112709, 'lat': 33.7452018}"
A688296,*STITCH,CAT,GRAY,,Female,2022-10-09,2022-11-09,INJURED  SEVERE,STRAY,FIELD,,2022-11-10,"10 BLK W 47TH ST, LB 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.84284030000001,-118.1931187,Alive on Intake,TRUE,0,"{'lon': -118.1931187, 'lat': 33.84284030000001}"
A732443,,CAT,WHITE,ORG TABBY,Male,2022-11-13,2024-11-13,INJURED  SEVERE,STRAY,FIELD,,2024-11-14,"10 BLK W ARBOR, LB 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8439359,-118.1933641,Alive on Intake,TRUE,0,"{'lon': -118.1933641, 'lat': 33.8439359}"
A659308,*PEBBLES,DOG,WHITE,BROWN,Female,2016-06-23,2021-06-23,NORMAL,STRAY,FIELD,,2021-07-03,"10 BLK W LOUISE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,KITTYKATCH,33.8548773,-118.1971016,Alive on Intake,FALSE,1,"{'lon': -118.1971016, 'lat': 33.8548773}"
A615048,,CAT,BLACK,WHITE,Unknown,2015-09-21,2018-09-21,ILL SEVERE,STRAY,FIELD,,2018-09-22,"10 BLK W MOUNTAIN VIEW ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,AT VET,33.8515302,-118.1962352,Alive on Intake,TRUE,0,"{'lon': -118.1962352, 'lat': 33.8515302}"
A642841,,WILD,BROWN,,Unknown,2019-05-17,2020-05-17,INJURED  SEVERE,WILDLIFE,FIELD,,2020-05-17,"10 BLK W TRAFFORD ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8682582,-118.2013758,Alive on Intake,TRUE,0,"{'lon': -118.2013758, 'lat': 33.8682582}"
A607390,*MAI TAI,CAT,SEAL PT,,Spayed,2016-05-10,2018-07-18,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2018-12-13,"10 BLK WOODPINE DR, IRVINE, CA 92604",IRVINE,ADOPTION,PFE/PAWSHP,33.6861428,-117.8047419,Alive on Intake,FALSE,1,"{'lon': -117.8047419, 'lat': 33.6861428}"
A602462,,REPTILE,GREEN,,Unknown,2017-12-14,2018-01-14,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2018-01-20,"10 CLAREMONT AVE, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,,33.7544477,-118.133292,Alive on Intake,FALSE,1,"{'lon': -118.133292, 'lat': 33.7544477}"
A711461,*BEAU,CAT,GRAY TABBY,,Male,2020-12-04,2023-12-04,ILL MILD,STRAY,FIELD,,2023-12-05,"10 GRANADA AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,ILL SEVERE,33.756527,-118.1384114,Alive on Intake,TRUE,0,"{'lon': -118.1384114, 'lat': 33.756527}"
A650608,,BIRD,WHITE,,Unknown,,2020-10-29,ILL SEVERE,WILDLIFE,FIELD,,2020-10-29,"10 MARINA DR, SEAL BEACH, CA 90740",SEAL BEACH,RESCUE,OTHER RESC,33.7463452,-118.1127047,Alive on Intake,FALSE,1,"{'lon': -118.1127047, 'lat': 33.7463452}"
A642390,,WILD,BLACK,WHITE,Unknown,,2020-05-04,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2020-05-04,"10 RIVERSEA RD, SEAL BEACH, CA 90740",SEAL BEACH,EUTHANASIA,ILL SEVERE,33.747561,-118.1110476,Alive on Intake,TRUE,0,"{'lon': -118.1110476, 'lat': 33.747561}"
A623754,,BIRD,BLACK,WHITE,Unknown,2018-03-24,2019-03-24,ILL MILD,WILDLIFE,FIELD,,2019-03-25,"100 AQUARIUM WAY, LONG BEACH, CA 90802",LONG BEACH,DIED,IN KENNEL,33.7621679,-118.196966,Alive on Intake,TRUE,0,"{'lon': -118.196966, 'lat': 33.7621679}"
A659812,DRACO,DOG,GRAY,WHITE,Neutered,2018-01-03,2021-07-03,NORMAL,OWNER SURRENDER,OTC,MOVE,2022-01-15,"100 BLCK E. 57TH ST, LONG BEACH CA 90805",LONG BEACH,ADOPTION,WEB,33.8581828,-118.1953974,Alive on Intake,FALSE,1,"{'lon': -118.1953974, 'lat': 33.8581828}"
A686251,,BIRD,BLACK,,Unknown,,2022-10-07,ILL SEVERE,WILDLIFE,FIELD,,2022-10-07,"100 BLK 10TH ST, SEAL BEACH, CA 90740",SEAL BEACH,EUTHANASIA,ILL SEVERE,33.7393952,-118.1050108,Alive on Intake,TRUE,0,"{'lon': -118.1050108, 'lat': 33.7393952}"
A439899,HONEY,DOG,BROWN,WHITE,Spayed,2010-06-10,2019-10-27,NORMAL,STRAY,OTC,,2019-10-30,"100 BLK 21ST ST, LONG BEACH CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,33.7953086,-118.1923903,Alive on Intake,FALSE,1,"{'lon': -118.1923903, 'lat': 33.7953086}"
A700206,*PARALLELOGRAM,CAT,GRAY TABBY,WHITE,Female,2023-05-15,2023-06-04,UNDER AGE/WEIGHT,STRAY,OTC,,2023-06-14,100 BLK 29TH ST LONG BEACH 90806,LONG BEACH,RESCUE,LITTLELION,33.8099414,-118.190922,Alive on Intake,FALSE,1,"{'lon': -118.190922, 'lat': 33.8099414}"
A680997,,BIRD,GRAY,BLUE,Unknown,,2022-07-28,INJURED  SEVERE,WILDLIFE,FIELD,,2022-07-28,"100 BLK 6TH ST, SEAL BEACH, CA 90740",SEAL BEACH,DIED,ENROUTE,33.741185,-118.1085554,Alive on Intake,TRUE,0,"{'lon': -118.1085554, 'lat': 33.741185}"
A718638,,CAT,BRN TABBY,,Unknown,,2024-04-13,INJURED  SEVERE,STRAY,FIELD,,2024-04-14,100 BLK ALAMITOS AVE,LONG BEACH,EUTHANASIA,AT VET,33.7677623,-118.1825071,Alive on Intake,TRUE,0,"{'lon': -118.1825071, 'lat': 33.7677623}"
A661017,GOLDIE,DOG,APRICOT,WHITE,Male,2021-03-03,2023-09-13,WELFARE SEIZURES,WELFARE SEIZED,POLICE,,2023-09-14,"100 BLK ALAMITOS AVE, LONG BEACH, CA",LONG BEACH,RETURN TO OWNER,WALKIN,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602049,,REPTILE,RED,BLUE,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602021,,REPTILE,YELLOW,BLACK,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602027,,OTHER,BLUE,RED,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602051,,REPTILE,YELLOW,BROWN,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602023,,REPTILE,YELLOW,BROWN,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602038,,REPTILE,GRAY,,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A737895,,BIRD,BROWN,WHITE,Unknown,,2025-03-07,ILL MILD,WILDLIFE,FIELD,,2025-03-07,100 BLK AQUARIUM WAY LONG BEACH CA 90802,LONG BEACH,TRANSPORT,OTHER RESC,33.7622585,-118.1966005,Alive on Intake,FALSE,1,"{'lon': -118.1966005, 'lat': 33.7622585}"
A731872,,BIRD,WHITE,BLACK,Unknown,,2024-11-03,ILL MODERATETE,WILDLIFE,FIELD,,2024-11-03,"100 BLK AQUARIUM WAY, LB 90802",LONG BEACH,TRANSFER,OTHER RESC,33.7621679,-118.196966,Alive on Intake,FALSE,1,"{'lon': -118.196966, 'lat': 33.7621679}"
